,in_text,matched,similarity,first_letter_match,dmtph_match,inv_lvst_dist,jw_sim,match_score
0,Senate Judiciary Committee,Senate Judiciary committee,1.0000000000000004,True,0.9975273768433653,1.0,1.0,0.9997252640937074
1,Cdc,cdc,1.0000000000000004,True,0.9975273768433653,1.0,1.0,0.9997252640937074
2,Justice Department,"Justice, Department",0.9999999999999999,True,0.9975273768433653,1.0,1.0,0.9997252640937072
3,Department of General Medicine,Department of Medicine,0.9999999999999998,True,0.9975273768433653,1.0,1.0,0.9997252640937072
4,African-American,African American,1.0,True,0.9975273768433653,1.0,1.0,0.9997252640937072
5,Red Cross,RED CROSS,1.0,True,0.9975273768433653,1.0,1.0,0.9997252640937072
6,M.-G,M. G,1.0,True,0.9975273768433653,1.0,1.0,0.9997252640937072
7,Grubhub,GrubHub,1.0,True,0.9975273768433653,1.0,1.0,0.9997252640937072
8,The New York Times,the New York Times,0.9999999999999998,True,0.9975273768433653,1.0,1.0,0.9997252640937072
9,UniCredit,Unicredit,1.0,True,0.9975273768433653,1.0,1.0,0.9997252640937072
10,House Appropriations committee,House Appropriations Committee,1.0,True,0.9975273768433653,1.0,1.0,0.9997252640937072
11,Department of Defense,Department of Defence,0.9999999999999998,True,0.9975273768433653,1.0,1.0,0.9997252640937072
12,Department of Defense,Department of Treasury,0.9999999999999998,True,0.9975273768433653,1.0,1.0,0.9997252640937072
13,McKay-Dee Hospital,McKay Dee Hospital,1.0,True,0.9975273768433653,1.0,1.0,0.9997252640937072
14,University of Nebraska-Lincoln,University of Nebraska Lincoln,0.9999999999999998,True,0.9975273768433653,1.0,1.0,0.9997252640937072
15,House of Representatives,House of representatives,0.9999999999999999,True,0.9975273768433653,1.0,1.0,0.9997252640937072
16,Huntington North High School,Huntington North High SChool,0.9999999999999999,True,0.9975273768433653,1.0,1.0,0.9997252640937072
17,Premier League,Major League,0.9999999999999998,True,0.9975273768433653,1.0,1.0,0.9997252640937072
18,un,Un,0.9999999999999999,True,0.9975273768433653,1.0,1.0,0.9997252640937072
19,St. Jude Children's Hospital,St Jude Children's Hospital,0.9999999999999999,True,0.9975273768433653,1.0,1.0,0.9997252640937072
20,Fox News,FOX News,0.9999999999999999,True,0.9975273768433653,1.0,1.0,0.9997252640937072
21,Japan Airlines,JAPAN AIRLINES,0.9999999999999998,True,0.9975273768433653,1.0,1.0,0.9997252640937072
22,U.S. Navy,U.S.; Navy,1.0,True,0.9975273768433653,1.0,1.0,0.9997252640937072
23,M G,M.-G,1.0,True,0.9975273768433653,1.0,1.0,0.9997252640937072
24,U.S. District Court,U. S. District Court,0.9999999999999998,True,0.9975273768433653,1.0,1.0,0.9997252640937072
25,Facebook,FaceBook,1.0000000000000002,True,0.9975273768433653,1.0,1.0,0.9997252640937072
26,Education Department,"Education, Department",1.0000000000000002,True,0.9975273768433653,1.0,1.0,0.9997252640937072
27,Thiele-Cooper Funeral Home,Thiele Cooper Funeral Home,1.0000000000000002,True,0.9975273768433653,1.0,1.0,0.9997252640937072
28,North Dakota State,North Dakota state,1.0000000000000002,True,0.9975273768433653,1.0,1.0,0.9997252640937072
29,State Department,"State, Department",1.0000000000000002,True,0.9975273768433653,1.0,1.0,0.9997252640937072
30,Department of the Treasury,Department of the Army,1.0000000000000002,True,0.9975273768433653,1.0,1.0,0.9997252640937072
31,US  Food  and  Drug  Administration,US Food and Drug Administration,1.0000000000000002,True,0.9975273768433653,1.0,1.0,0.9997252640937072
32,"Honeywell International, Inc.",Honeywell International Inc.,1.0000000000000002,True,0.9975273768433653,1.0,1.0,0.9997252640937072
33,H/R,H. R,1.0000000000000002,True,0.9975273768433653,1.0,1.0,0.9997252640937072
34,Ace Speedway,ACE Speedway,1.0000000000000002,True,0.9975273768433653,1.0,1.0,0.9997252640937072
35,M G,M. G,1.0,True,0.9975273768433653,1.0,1.0,0.9997252640937072
36,Subway,subway,1.0,True,0.9975273768433653,1.0,1.0,0.9997252640937072
37,Murata Manufacturing,MURATA MANUFACTURING,1.0,True,0.9975273768433653,1.0,1.0,0.9997252640937072
38,who,Who,1.0,True,0.9975273768433653,1.0,1.0,0.9997252640937072
39,Star-Tribune,Star Tribune,0.9999999999999998,True,0.9975273768433653,1.0,1.0,0.9997252640937072
40,World Health Organization,World Health  Organization,0.9999999999999997,True,0.9975273768433653,1.0,1.0,0.9997252640937071
41,Treasury Department,Defense Department,0.9999999999999994,True,0.9975273768433653,1.0,1.0,0.9997252640937071
42,Stephen F. Austin High School,Stephen F Austin High School,0.9999999999999997,True,0.9975273768433653,1.0,1.0,0.9997252640937071
43,"Esterdahl Mortuary and Crematory, Ltd.",Esterdahl Mortuary and Crematory Ltd.,0.9999999999999996,True,0.9975273768433653,1.0,1.0,0.9997252640937071
44,Navajo Nation,NAVAJO NATION,0.9999999999999997,True,0.9975273768433653,1.0,1.0,0.9997252640937071
45,U.S. Commission on Civil Rights',U.S. Commission on Civil Rights,0.9737618184921653,True,0.7310585786300051,1.0,1.0,0.9584562058442962
46,Qatar Airways,Qatar Airways',0.9684176612937265,True,0.7310585786300051,1.0,1.0,0.9560810248672124
47,British Airways,British Airways',0.9668248073225402,True,0.7310585786300051,1.0,1.0,0.9553730897689073
48,Southwest Airlines,Southwest Airlines',0.9656562145403892,True,0.7310585786300051,1.0,1.0,0.9548537151990624
49,Chicago Bulls',Chicago Bulls,0.9635075162762721,True,0.7310585786300051,1.0,1.0,0.9538987381927883
50,Bank of America Merril Lynch,Bank of America Merrill Lynch,0.9607271285261088,True,0.7310585786300051,1.0,1.0,0.9526630103038267
51,Department of Corrections,Department of Corrections',0.96004872809747,True,0.7310585786300051,1.0,1.0,0.9523614990022095
52,Chicago Bears,Chicago Bears',0.9582921257403622,True,0.7310585786300051,1.0,1.0,0.9515807868434949
53,American Airlines,American Airlines',0.9559608001445249,True,0.7310585786300051,1.0,1.0,0.950544642134234
54,Democrats,Democrats',0.9464275655033009,True,0.7310585786300051,1.0,0.9966666666666667,0.9459372785899861
55,Oaktree Capital Management,Oaktree Capital,0.9450296049760633,True,0.7310585786300051,1.0,1.0,0.9456863331704732
56,Marine Corps,Marine Corps',0.9439615287882042,True,0.7310585786300051,1.0,1.0,0.9452116326425357
57,Carnival Corp.,Carnival Corp,0.9399616718555368,True,0.7310585786300051,1.0,1.0,0.9434339184502392
